eren@pt.medicine,2025-06-13T00:43:19.957556500
erenaras16@dr.medicine,2025-06-13T01:14:19.601952800
erenaras16@dr.medicine,2025-06-13T01:16:53.030946
erenaras16@dr.medicine,2025-06-13T01:20:20.174291600
erenaras16@dr.medicine,2025-06-13T01:45:10.815177500
erenaras16@dr.medicine,2025-06-13T01:56:15.600563
erenaras16@dr.medicine,2025-06-13T02:00:43.591222100
erenaras16@dr.medicine,2025-06-13T02:04:24.296321300
erenaras16@dr.medicine,2025-06-13T02:14:36.283067900
erenaras16@dr.medicine,2025-06-13T02:18:00.291584500
erenaras16@dr.medicine,2025-06-13T02:23:30.327451100
ulaskartal@pt.medicine,2025-06-13T02:38:24.222136100
ulaskartal@pt.medicine,2025-06-13T02:43:23.076459400
ulaskartal@pt.medicine,2025-06-13T02:46:31.829479600
ulaskartal@pt.medicine,2025-06-13T02:56:41.631703700
ulaskartal@pt.medicine,2025-06-13T03:06:35.292138400
ulaskartal@pt.medicine,2025-06-13T03:10:09.540233600
ulaskartal@pt.medicine,2025-06-13T03:12:19.489378900
ulaskartal@pt.medicine,2025-06-13T03:13:13.550306600
ulaskartal@pt.medicine,2025-06-13T03:14:01.454116100
erenaras16@dr.medicine,2025-06-13T03:19:46.385914200
ulaskartal@pt.medicine,2025-06-13T03:21:22.193583
ulaskartal@pt.medicine,2025-06-13T03:23:07.900372900
ulaskartal@pt.medicine,2025-06-13T03:24:12.721832400
